experiment_id,day_number,visitors_control,visitors_treatment,conversions_control,conversions_treatment,conversion_rate_control,conversion_rate_treatment,observed_lift,daily_visitors_this_day,daily_conversions_control,daily_conversions_treatment,sample_size_progress,device_type,region,traffic_source,segment,experiment_category,baseline_conversion_rate,true_treatment_effect,effect_type,final_outcome,final_p_value,final_z_statistic,final_lift,winner_binary
3,11,13821,13821,2144,2274,0.155126,0.164532,0.009406,1237,210,178,0.8026,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,12,15183,15183,2351,2495,0.154844,0.164329,0.009484,1362,207,221,0.8817,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,13,16372,16372,2533,2701,0.154715,0.164977,0.010261,1189,182,206,0.9508,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,14,17745,17745,2733,2934,0.154015,0.165342,0.011327,1373,200,233,1.0305,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
4,1,236,236,36,43,0.152542,0.182203,0.029661,236,36,43,0.0739,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,2,496,496,71,83,0.143145,0.167339,0.024194,260,35,40,0.1554,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,3,712,712,99,107,0.139045,0.150281,0.011236,216,28,24,0.2231,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,4,913,913,129,139,0.141292,0.152245,0.010953,201,30,32,0.286,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,5,1145,1145,161,176,0.140611,0.153712,0.0131,232,32,37,0.3587,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,6,1400,1400,198,209,0.141429,0.149286,0.007857,255,37,33,0.4386,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,7,1647,1647,235,242,0.142684,0.146934,0.00425,247,37,33,0.516,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,8,1883,1883,263,287,0.139671,0.152416,0.012746,236,28,45,0.5899,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,9,2098,2098,283,316,0.13489,0.15062,0.015729,215,20,29,0.6573,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,10,2328,2328,316,356,0.135739,0.152921,0.017182,230,33,40,0.7293,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,11,2528,2528,352,382,0.139241,0.151108,0.011867,200,36,26,0.792,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,12,2768,2768,378,419,0.136561,0.151373,0.014812,240,26,37,0.8672,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,13,3011,3011,409,453,0.135835,0.150448,0.014613,243,31,34,0.9433,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
4,14,3270,3270,442,490,0.135168,0.149847,0.014679,259,33,37,1.0244,Mobile,US,Paid,Returning,Landing Page,0.13177194231349623,0.022956820342173685,positive,inconclusive,0.08952217640038262,1.6979236316957054,0.014678899082568808,0
5,1,1164,1164,60,115,0.051546,0.098797,0.047251,1164,60,115,0.0752,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,2,2264,2264,117,220,0.051678,0.097173,0.045495,1100,57,105,0.1462,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,3,3528,3528,177,347,0.05017,0.098356,0.048186,1264,60,127,0.2278,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,4,4758,4758,244,467,0.051282,0.09815,0.046868,1230,67,120,0.3073,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,5,5817,5817,301,578,0.051745,0.099364,0.047619,1059,57,111,0.3757,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,6,6772,6772,355,693,0.052422,0.102333,0.049911,955,54,115,0.4374,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,7,7992,7992,417,815,0.052177,0.101977,0.0498,1220,62,122,0.5161,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,8,9234,9234,495,953,0.053606,0.103206,0.049599,1242,78,138,0.5964,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,9,10446,10446,576,1097,0.055141,0.105016,0.049876,1212,81,144,0.6746,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,10,11428,11428,636,1205,0.055653,0.105443,0.04979,982,60,108,0.7381,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,11,12699,12699,708,1349,0.055752,0.106229,0.050476,1271,72,144,0.8201,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,12,13724,13724,758,1467,0.055232,0.106893,0.051661,1025,50,118,0.8863,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,13,14904,14904,810,1606,0.054348,0.107756,0.053408,1180,52,139,0.9625,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
5,14,16145,16145,879,1738,0.054444,0.107649,0.053205,1241,69,132,1.0427,Desktop,EU,Organic,Returning,Pricing,0.05652316887521421,0.04909614947520712,positive,treatment_wins,0.0,17.51638962064225,0.05320532672654073,1
6,1,1296,1296,59,18,0.045525,0.013889,-0.031636,1296,59,18,0.0737,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,2,2501,2501,117,43,0.046781,0.017193,-0.029588,1205,58,25,0.1422,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,3,3909,3909,181,67,0.046303,0.01714,-0.029163,1408,64,24,0.2223,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,4,5166,5166,243,88,0.047038,0.017034,-0.030004,1257,62,21,0.2938,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,5,6408,6408,324,106,0.050562,0.016542,-0.03402,1242,81,18,0.3644,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,6,7851,7851,407,140,0.051841,0.017832,-0.034008,1443,83,34,0.4465,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,7,9104,9104,478,162,0.052504,0.017794,-0.03471,1253,71,22,0.5177,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,8,10238,10238,538,184,0.052549,0.017972,-0.034577,1134,60,22,0.5822,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,9,11498,11498,617,202,0.053662,0.017568,-0.036093,1260,79,18,0.6539,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,10,12872,12872,710,227,0.055158,0.017635,-0.037523,1374,93,25,0.732,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,11,14232,14232,782,250,0.054947,0.017566,-0.037381,1360,72,23,0.8094,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,12,15596,15596,858,274,0.055014,0.017569,-0.037445,1364,76,24,0.8869,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,13,16930,16930,931,301,0.054991,0.017779,-0.037212,1334,73,27,0.9628,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
6,14,18093,18093,994,315,0.054938,0.01741,-0.037528,1163,63,14,1.0289,Tablet,US,Email,Returning,Checkout,0.05651906845715445,-0.03983533641798909,negative,control_wins,0.0,-19.116161008104275,-0.03752832587188415,0
7,1,2058,2058,98,160,0.047619,0.077745,0.030126,2058,98,160,0.0787,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,2,3732,3732,174,289,0.046624,0.077438,0.030815,1674,76,129,0.1426,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,3,5367,5367,243,404,0.045277,0.075275,0.029998,1635,69,115,0.2051,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,4,7315,7315,313,554,0.042789,0.075735,0.032946,1948,70,150,0.2796,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,5,9168,9168,380,695,0.041449,0.075807,0.034359,1853,67,141,0.3504,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,6,11265,11265,470,860,0.041722,0.076343,0.034621,2097,90,165,0.4305,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,7,13057,13057,557,995,0.042659,0.076204,0.033545,1792,87,135,0.499,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,8,14806,14806,623,1114,0.042078,0.07524,0.033162,1749,66,119,0.5658,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,9,16675,16675,694,1229,0.041619,0.073703,0.032084,1869,71,115,0.6373,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,10,18519,18519,767,1348,0.041417,0.07279,0.031373,1844,73,119,0.7078,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,11,20300,20300,836,1483,0.041182,0.073054,0.031872,1781,69,135,0.7758,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,12,22277,22277,920,1639,0.041298,0.073574,0.032275,1977,84,156,0.8514,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,13,24291,24291,1003,1788,0.041291,0.073608,0.032316,2014,83,149,0.9283,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
7,14,26357,26357,1091,1920,0.041393,0.072846,0.031453,2066,88,132,1.0073,Mobile,EU,Paid,New Users,CTA,0.039874214068593906,0.03254713965244531,positive,treatment_wins,0.0,15.558611532293508,0.03145274500132792,1
8,1,926,926,158,151,0.170626,0.163067,-0.007559,926,158,151,0.0614,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,2,2084,2084,359,323,0.172265,0.15499,-0.017274,1158,201,172,0.1381,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,3,3245,3245,568,509,0.175039,0.156857,-0.018182,1161,209,186,0.215,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,4,4469,4469,799,726,0.178787,0.162452,-0.016335,1224,231,217,0.2961,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,5,5402,5402,1002,870,0.185487,0.161051,-0.024435,933,203,144,0.3579,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,6,6511,6511,1192,1039,0.183075,0.159576,-0.023499,1109,190,169,0.4314,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,7,7565,7565,1390,1186,0.183741,0.156775,-0.026966,1054,198,147,0.5013,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,8,8588,8588,1592,1346,0.185375,0.15673,-0.028645,1023,202,160,0.569,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,9,9533,9533,1767,1493,0.185356,0.156614,-0.028742,945,175,147,0.6317,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,10,10631,10631,1948,1635,0.183238,0.153796,-0.029442,1098,181,142,0.7044,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,11,11702,11702,2127,1784,0.181764,0.152453,-0.029311,1071,179,149,0.7754,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,12,12652,12652,2315,1935,0.182975,0.15294,-0.030035,950,188,151,0.8383,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,13,13766,13766,2504,2071,0.181897,0.150443,-0.031454,1114,189,136,0.9121,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
8,14,14920,14920,2700,2238,0.180965,0.15,-0.030965,1154,196,167,0.9886,Mobile,LATAM,Organic,Returning,Checkout,0.177249944781739,-0.030516212757213217,negative,control_wins,6.157296894571118e-13,-7.196954014959883,-0.030965147453083125,0
9,1,265,265,32,40,0.120755,0.150943,0.030189,265,32,40,0.0681,Desktop,US,Paid,Returning,Pricing,0.1321895519963455,0.0,null,inconclusive,0.6179286406184126,0.49878814421967677,0.0037821482602118095,0
9,2,533,533,72,76,0.135084,0.142589,0.007505,268,40,36,0.1369,Desktop,US,Paid,Returning,Pricing,0.1321895519963455,0.0,null,inconclusive,0.6179286406184126,0.49878814421967677,0.0037821482602118095,0
9,3,811,811,120,106,0.147965,0.130703,-0.017263,278,48,30,0.2084,Desktop,US,Paid,Returning,Pricing,0.1321895519963455,0.0,null,inconclusive,0.6179286406184126,0.49878814421967677,0.0037821482602118095,0
9,4,1124,1124,151,160,0.134342,0.142349,0.008007,313,31,54,0.2888,Desktop,US,Paid,Returning,Pricing,0.1321895519963455,0.0,null,inconclusive,0.6179286406184126,0.49878814421967677,0.0037821482602118095,0
9,5,1433,1433,184,203,0.128402,0.141661,0.013259,309,33,43,0.3682,Desktop,US,Paid,Returning,Pricing,0.1321895519963455,0.0,null,inconclusive,0.6179286406184126,0.49878814421967677,0.0037821482602118095,0
